CPF,Nome,Idade,Sexo,Email,Nota_ENEM,CRE_2o_Semestre,CRA_4o_Semestre,CRA_6o_Semestre,Abandonou,Semestre_Abandono
967.450.321-80,Alana Correia,24,Feminino,alana_correia_967@cepedi.com,657,6.263825727574373,7.04968945876233,,Sim,6.0
058.946.273-38,Isaac da Cruz,18,Masculino,isaac_da_cruz_058@cepedi.com,667,6.3108062691961235,9.235295584550244,,Sim,6.0
876.934.501-57,Ana Carolina Costa,24,Feminino,ana_carolina_costa_876@cepedi.com,698,5.401032247278399,5.93740986004313,7.349083426126783,Não,
078.412.356-07,Nicole Moraes,21,Feminino,nicole_moraes_078@cepedi.com,679,8.304316209914049,6.984893176448642,,Sim,6.0
941.632.078-13,Vitória Moraes,22,Feminino,vitória_moraes_941@cepedi.com,729,8.32319168941961,6.463134729202098,,Sim,6.0
738.690.254-92,Milena da Cruz,26,Feminino,milena_da_cruz_738@cepedi.com,795,9.675238334671374,,,Sim,4.0
106.527.983-30,Isadora Campos,21,Feminino,isadora_campos_106@cepedi.com,712,,,,Sim,2.0
647.935.081-20,Anthony da Cunha,18,Masculino,anthony_da_cunha_647@cepedi.com,661,5.155325564288726,9.647758915915656,,Sim,5.0
067.123.459-52,Sr. Daniel Nunes,28,Masculino,sr._daniel_nunes_067@cepedi.com,789,8.607182662128055,9.307689996023754,5.082595031676954,Não,
735.691.402-61,Dra. Marina Porto,18,Feminino,dra._marina_porto_735@cepedi.com,775,,,,Sim,2.0
085.739.246-83,Bruna da Conceição,19,Feminino,bruna_da_conceição_085@cepedi.com,672,5.763411217970961,6.176826618654946,9.06040473580471,Sim,8.0
543.620.781-26,Sra. Laura Costela,25,Feminino,sra._laura_costela_543@cepedi.com,768,8.599325618326548,8.040090621728215,6.977793315878611,Sim,8.0
738.456.192-28,João Felipe Freitas,22,Masculino,joão_felipe_freitas_738@cepedi.com,793,6.256442323024363,6.65588678622482,8.561052117191831,Não,
108.752.369-95,Eduarda Melo,26,Feminino,eduarda_melo_108@cepedi.com,794,9.944754215719152,8.935239383233432,,Sim,5.0
596.137.208-12,João Felipe Santos,23,Masculino,joão_felipe_santos_596@cepedi.com,758,9.223932661473832,6.813493293926857,,Sim,6.0
592.074.318-23,Isis Duarte,20,Feminino,isis_duarte_592@cepedi.com,792,9.920984835044882,5.480458172385757,9.460735338548563,Não,
609.578.123-02,Alice Costela,21,Feminino,alice_costela_609@cepedi.com,642,8.49637871408087,9.471710754603155,5.3989226546476825,Não,
359.627.840-65,Davi Luiz da Costa,25,Masculino,davi_luiz_da_costa_359@cepedi.com,658,7.8366867324081415,9.39900354031068,8.295118142906881,Não,
087.694.153-66,Vitor Souza,24,Masculino,vitor_souza_087@cepedi.com,710,5.310699526527692,6.158563029313897,,Sim,6.0
498.517.263-46,Alice Nunes,21,Feminino,alice_nunes_498@cepedi.com,754,5.570116641136044,6.456961128156995,7.648870978631788,Não,
315.927.084-04,Sr. Calebe Pinto,23,Masculino,sr._calebe_pinto_315@cepedi.com,766,6.0217134476975245,5.470078800368761,5.834209813176945,Não,
685.927.340-29,Raul Moura,19,Masculino,raul_moura_685@cepedi.com,709,8.439892192284159,8.109346346294338,7.058931946943217,Não,
315.980.267-12,Daniel Araújo,26,Masculino,daniel_araújo_315@cepedi.com,743,8.875886058625415,7.435357312821128,7.914597364421065,Não,
524.879.106-58,Dra. Sabrina Nascimento,21,Feminino,dra._sabrina_nascimento_524@cepedi.com,721,9.31978824562466,7.4895870103094575,7.569380565599639,Não,
962.451.870-01,Isabelly Barbosa,19,Feminino,isabelly_barbosa_962@cepedi.com,656,,,,Sim,2.0
217.843.065-17,Ryan Moreira,22,Masculino,ryan_moreira_217@cepedi.com,707,,,,Sim,2.0
421.387.056-17,João Guilherme da Conceição,19,Masculino,joão_guilherme_da_conceição_421@cepedi.com,763,6.82385624864628,8.4349846098187,9.719226047735752,Não,
489.573.201-05,Dr. João Vitor Pinto,26,Masculino,dr._joão_vitor_pinto_489@cepedi.com,712,,,,Sim,2.0
701.238.549-97,Sr. Diogo Lima,27,Masculino,sr._diogo_lima_701@cepedi.com,750,9.249819841677748,9.044426614600205,5.531335166162512,Não,
938.647.201-50,Juliana Rodrigues,24,Feminino,juliana_rodrigues_938@cepedi.com,795,6.3965578193426005,,,Sim,3.0
295.768.310-59,Giovanna Rodrigues,23,Feminino,giovanna_rodrigues_295@cepedi.com,753,,,,Sim,1.0
280.916.437-13,Diogo da Rosa,22,Masculino,diogo_da_rosa_280@cepedi.com,745,5.0952569219793045,,,Sim,4.0
341.056.829-89,Erick da Rocha,20,Masculino,erick_da_rocha_341@cepedi.com,667,8.682172296243355,,,Sim,3.0
679.803.521-30,Samuel Teixeira,20,Masculino,samuel_teixeira_679@cepedi.com,710,,,,Sim,1.0
